"","SITE_ID","SITE_NAME","SURVEY_ID","EVENT_DATE","SURVEY_SPECIES_ID","SPECIES_ID","SPECIES_NAME","LATIN_NAME","SPECIES_RUN_ID","RUN_NUMBER","BULK_MEASURED_ID","BULK_LENGTH_START","BULK_LENGTH_END","BULK_FISH_COUNT","BULK_FISH_WEIGHT","AGE_BAND"
"115",3666,"Southwell",142257,2014-07-29,601016,286,"Stone loach","Barbatula barbatula",797929,1,178146,,,3,,""
"116",3564,"Nooning Lane",142947,2014-09-17,607515,284,"Minnow","Phoxinus phoxinus",805828,1,179895,,,154,,""
"117",3564,"Nooning Lane",142947,2014-09-17,607523,283,"Bullhead","Cottus gobio",805836,1,179896,,,3,,""
"118",41974,"Farndon Net",142860,2014-09-11,610964,194,"Roach","Rutilus rutilus",809917,1,180726,,,5,,""
"119",41973,"Kneeton Net",144238,2014-09-12,618144,153,"Dace","Leuciscus leuciscus",818645,1,183264,,,39,,""
"120",56105,"Holme Net",144240,2014-09-22,618158,284,"Minnow","Phoxinus phoxinus",818671,1,183265,,,52,,""
"121",56105,"Holme Net",144242,2014-09-23,618171,194,"Roach","Rutilus rutilus",818684,1,183275,,,9,,""
"122",34661,"Colwick Marina Net",142858,2014-09-04,618211,194,"Roach","Rutilus rutilus",818757,1,183295,,,90,,""
"123",34662,"Stoke Bardolph Net",144248,2014-09-04,618254,152,"Chub","Leuciscus cephalus",818807,1,183305,,,161,,""
"124",34662,"Stoke Bardolph Net",144248,2014-09-04,618256,284,"Minnow","Phoxinus phoxinus",818809,1,183306,,,92,,""
"125",34662,"Stoke Bardolph Net",144248,2014-09-04,618257,193,"Gudgeon","Gobio gobio",818810,1,183307,,,33,,""
"126",61565,"Southwell Gauging Station",144269,2014-07-29,618442,283,"Bullhead","Cottus gobio",819035,1,183366,,,16,,""
"127",61565,"Southwell Gauging Station",144269,2014-07-29,618443,286,"Stone loach","Barbatula barbatula",819036,1,183367,,,25,,""
"128",61564,"Halam",144279,2014-07-29,618537,281,"3-spined stickleback","Gasterosteus aculeatus",819173,1,183407,,,2,,""
"129",61564,"Halam",144279,2014-07-29,618539,283,"Bullhead","Cottus gobio",819175,1,183408,,,6,,""
"130",3670,"Cottam Gauging Station",145263,2015-06-02,629279,284,"Minnow","Phoxinus phoxinus",833397,1,185785,,,87,,""
"131",3670,"Cottam Gauging Station",145263,2015-06-02,629279,284,"Minnow","Phoxinus phoxinus",833398,2,185788,,,37,,""
"132",3670,"Cottam Gauging Station",145263,2015-06-02,629280,283,"Bullhead","Cottus gobio",833399,1,185786,,,23,,""
"133",3670,"Cottam Gauging Station",145263,2015-06-02,629280,283,"Bullhead","Cottus gobio",833400,2,185789,,,12,,""
"134",3670,"Cottam Gauging Station",145263,2015-06-02,629283,286,"Stone loach","Barbatula barbatula",833405,1,185787,,,3,,""
"135",3670,"Cottam Gauging Station",145263,2015-06-02,629283,286,"Stone loach","Barbatula barbatula",833406,2,185790,,,5,,""
"136",37787,"Girton",145280,2015-06-25,631799,194,"Roach","Rutilus rutilus",836352,1,186543,,,105,,""
"137",64649,"Old Hall Farm",145847,2015-07-07,631957,283,"Bullhead","Cottus gobio",836570,1,186586,,,8,,""
"138",64649,"Old Hall Farm",145847,2015-07-07,631958,286,"Stone loach","Barbatula barbatula",836571,1,186587,,,46,,""
"139",64649,"Old Hall Farm",145847,2015-07-07,631959,284,"Minnow","Phoxinus phoxinus",836572,1,186588,,,15,,""
"140",64649,"Old Hall Farm",145847,2015-07-07,631960,285,"Spined loach","Cobitis taenia",836573,1,186589,,,8,,""
"141",64649,"Old Hall Farm",145847,2015-07-07,631962,281,"3-spined stickleback","Gasterosteus aculeatus",836575,1,186590,,,2,,""
"142",41973,"Kneeton Net",147252,2015-09-23,639246,153,"Dace","Leuciscus leuciscus",846359,1,188792,,,58,,""
"143",34661,"Colwick Marina Net",147267,2015-09-23,639769,194,"Roach","Rutilus rutilus",847082,1,188997,,,158,,""
"144",34662,"Stoke Bardolph Net",147373,2015-09-23,639900,153,"Dace","Leuciscus leuciscus",847261,1,189017,,,71,,""
"145",41974,"Farndon Net",147397,2015-10-08,640897,182,"Common bream","Abramis brama",848630,1,189148,,,20,,""
"146",41974,"Farndon Net",147397,2015-10-08,640898,194,"Roach","Rutilus rutilus",848631,1,189149,,,68,,""
"147",36189,"North Clifton Net",147572,2015-10-16,641640,152,"Chub","Leuciscus cephalus",849493,1,189489,,,17,,""
"148",36189,"North Clifton Net",147572,2015-10-16,641642,181,"Bleak","Alburnus alburnus",849495,1,189490,,,17,,""
"149",65724,"Caunton",147608,2015-09-22,641957,111,"Brown / sea trout","Salmo trutta",849810,1,189538,,,30,,""
"150",65724,"Caunton",147608,2015-09-22,641958,242,"European eels > elvers","Anguilla anguilla",849811,1,189539,,,9,,""
"151",65724,"Caunton",147608,2015-09-22,641959,283,"Bullhead","Cottus gobio",849812,1,189540,,,1,,""
"152",39786,"Sawley Weir Net",147556,2015-09-28,641999,284,"Minnow","Phoxinus phoxinus",849852,1,189547,,,18,,""
"153",66288,"Fiskerton Mill",148005,2016-05-11,645699,283,"Bullhead","Cottus gobio",854412,1,190207,,,9,,""
"154",67443,"Erewash Confluence",148453,2016-07-13,648984,242,"European eels > elvers","Anguilla anguilla",859621,1,190877,,,2,,""
"155",3614,"Ratcliffe on Soar",148629,2016-07-22,649738,283,"Bullhead","Cottus gobio",860632,1,191027,,,9,,""
"156",3614,"Ratcliffe on Soar",148629,2016-07-22,649738,283,"Bullhead","Cottus gobio",860633,2,191029,,,17,,""
"157",3614,"Ratcliffe on Soar",148629,2016-07-22,649741,284,"Minnow","Phoxinus phoxinus",860638,1,191028,,,4,,""
"158",56084,"Redhill Marina",148828,2016-08-04,650660,181,"Bleak","Alburnus alburnus",861966,1,191251,,,6,,""
"159",56084,"Redhill Marina",148828,2016-08-04,650661,153,"Dace","Leuciscus leuciscus",861967,1,191252,,,135,,""
"160",56084,"Redhill Marina",148828,2016-08-04,650662,284,"Minnow","Phoxinus phoxinus",861968,1,191254,,,113,,""
"161",41973,"Kneeton Net",149254,2016-09-13,653020,182,"Common bream","Abramis brama",865273,1,191704,,,1106,,""
"162",41973,"Kneeton Net",149254,2016-09-13,653021,153,"Dace","Leuciscus leuciscus",865274,1,191705,,,1196,,""
"163",41973,"Kneeton Net",149254,2016-09-13,653022,193,"Gudgeon","Gobio gobio",865275,1,191706,,,945,,""
"164",41973,"Kneeton Net",149254,2016-09-13,653024,194,"Roach","Rutilus rutilus",865277,1,191707,,,1239,,""
"165",34661,"Colwick Marina Net",149255,2016-09-13,653026,194,"Roach","Rutilus rutilus",865279,1,191708,,,155,,""
"166",34661,"Colwick Marina Net",149255,2016-09-13,653027,182,"Common bream","Abramis brama",865280,1,191709,,,94,,""
"167",34662,"Stoke Bardolph Net",149270,2016-09-15,653105,153,"Dace","Leuciscus leuciscus",865358,1,191739,,,242,,""
"168",34662,"Stoke Bardolph Net",149270,2016-09-15,653107,193,"Gudgeon","Gobio gobio",865360,1,191740,,,102,,""
"169",34662,"Stoke Bardolph Net",149270,2016-09-15,653110,284,"Minnow","Phoxinus phoxinus",865363,1,191741,,,97,,""
"170",39786,"Sawley Weir Net",149277,2016-09-15,653132,153,"Dace","Leuciscus leuciscus",865391,1,191744,,,268,,""
"171",39787,"Muskham Bridge Net",149399,2016-09-22,653945,284,"Minnow","Phoxinus phoxinus",866672,1,191937,,,20,,""
"172",39787,"Muskham Bridge Net",149399,2016-09-22,653945,284,"Minnow","Phoxinus phoxinus",866681,2,191938,,,35,,""
"173",56105,"Holme Net",149643,2016-10-11,655423,153,"Dace","Leuciscus leuciscus",868616,1,192337,,,106,,""
"174",56105,"Holme Net",149643,2016-10-11,655424,152,"Chub","Leuciscus cephalus",868617,1,192338,,,256,,""
"175",56105,"Holme Net",149643,2016-10-11,655426,284,"Minnow","Phoxinus phoxinus",868619,1,192339,,,48,,""
"176",68606,"Halls Pond, Balderton",150215,2014-11-20,659003,211,"Perch","Perca fluviatilis",873296,1,193050,,,581,,""
"177",68606,"Halls Pond, Balderton",150215,2014-11-20,659004,194,"Roach","Rutilus rutilus",873297,1,193051,,,1184,,""
"178",68608,"Grange Pond, Long Eaton",150217,2014-04-02,659016,182,"Common bream","Abramis brama",873309,1,193057,,,67,,""
"179",68608,"Grange Pond, Long Eaton",150217,2014-04-02,659019,194,"Roach","Rutilus rutilus",873312,1,193058,,,514,,""
"180",68609,"Kingfisher, South Mskham",150218,2014-11-27,659020,184,"Common [wild] carp","Cyprinus carpio",873313,1,193059,,,77,,""
"181",68609,"Kingfisher, South Mskham",150218,2014-11-27,659021,188,"Mirror carp","Cyprinus carpio",873314,1,193060,,,5,,""
"182",68609,"Kingfisher, South Mskham",150218,2014-11-27,659023,211,"Perch","Perca fluviatilis",873316,1,193061,,,94,,""
"183",37787,"Girton",150427,2017-05-24,661592,242,"European eels > elvers","Anguilla anguilla",876780,1,193497,,,5,,""
"184",3670,"Cottam Gauging Station",150685,2017-06-27,663672,284,"Minnow","Phoxinus phoxinus",879600,1,193867,,,149,,""
"185",3670,"Cottam Gauging Station",150685,2017-06-27,663673,283,"Bullhead","Cottus gobio",879601,1,193868,,,56,,""
"186",3670,"Cottam Gauging Station",150685,2017-06-27,663680,242,"European eels > elvers","Anguilla anguilla",879608,1,193869,,,1,,""
"187",3564,"Nooning Lane",151011,2017-07-25,665732,284,"Minnow","Phoxinus phoxinus",882240,1,194477,,,200,,""
"188",3564,"Nooning Lane",151011,2017-07-25,665733,283,"Bullhead","Cottus gobio",882241,1,194478,,,21,,""
"189",3564,"Nooning Lane",151011,2017-07-25,665735,286,"Stone loach","Barbatula barbatula",882243,1,194479,,,27,,""
"190",3564,"Nooning Lane",151306,2017-08-24,667522,284,"Minnow","Phoxinus phoxinus",884851,1,194977,,,607,,""
"191",34661,"Colwick Marina Net",151621,2017-09-14,669378,153,"Dace","Leuciscus leuciscus",887544,1,195381,,,27,,""
"192",34661,"Colwick Marina Net",151621,2017-09-14,669385,193,"Gudgeon","Gobio gobio",887551,1,195382,,,53,,""
"193",34662,"Stoke Bardolph Net",151868,2017-10-05,670872,153,"Dace","Leuciscus leuciscus",889880,1,195747,,,395,,""
"194",34662,"Stoke Bardolph Net",151868,2017-10-05,670873,284,"Minnow","Phoxinus phoxinus",889881,1,195748,,,220,,""
"195",56105,"Holme Net",151870,2017-10-05,670891,153,"Dace","Leuciscus leuciscus",889919,1,195749,,,145,,""
"196",41973,"Kneeton Net",151872,2017-10-06,670918,182,"Common bream","Abramis brama",889968,1,195757,,,53,,""
"197",41973,"Kneeton Net",151872,2017-10-06,670919,153,"Dace","Leuciscus leuciscus",889969,1,195758,,,439,,""
"198",41973,"Kneeton Net",151872,2017-10-06,670920,194,"Roach","Rutilus rutilus",889970,1,195759,,,86,,""
