"","SITE_ID","SITE_NAME","SURVEY_ID","EVENT_DATE","SURVEY_SPECIES_ID","SPECIES_ID","SPECIES_NAME","LATIN_NAME","SPECIES_RUN_ID","RUN_NUMBER","BULK_MEASURED_ID","BULK_LENGTH_START","BULK_LENGTH_END","BULK_FISH_COUNT","BULK_FISH_WEIGHT","AGE_BAND"
"273",41973,"Kneeton Net",161674,2022-09-29,720722,211,"Perch","Perca fluviatilis",956080,1,206770,,,25,,""
"274",56084,"Redhill Marina",161981,2022-10-11,722538,284,"Minnow","Phoxinus phoxinus",958668,1,207189,,,46,,""
"275",56084,"Redhill Marina",161981,2022-10-11,722541,283,"Bullhead","Cottus gobio",958671,1,207190,,,1,,""
"276",36189,"North Clifton Net",162246,2022-10-06,724547,194,"Roach","Rutilus rutilus",961939,1,207577,,,192,,""
"277",37787,"Girton",162454,2023-06-20,726158,194,"Roach","Rutilus rutilus",964492,1,207937,,,11,,""
"278",37787,"Girton",162454,2023-06-20,726159,285,"Spined loach","Cobitis taenia",964493,1,207938,,,1,,""
"279",34662,"Stoke Bardolph Net",163747,2023-09-25,732838,193,"Gudgeon","Gobio gobio",974133,1,209292,,,5,,""
"280",41974,"Farndon Net",163751,2023-09-25,732856,153,"Dace","Leuciscus leuciscus",974151,1,209293,,,27,,""
"281",41974,"Farndon Net",163751,2023-09-25,732857,194,"Roach","Rutilus rutilus",974152,1,209294,,,16,,""
"282",41974,"Farndon Net",163751,2023-09-25,732859,193,"Gudgeon","Gobio gobio",974154,1,209295,,,27,,""
"283",39786,"Sawley Weir Net",164152,2023-09-26,735002,284,"Minnow","Phoxinus phoxinus",977180,1,209761,,,524,,""
"284",34661,"Colwick Marina Net",164157,2023-09-28,735030,194,"Roach","Rutilus rutilus",977208,1,209754,,,641,,""
"285",34661,"Colwick Marina Net",164157,2023-09-28,735031,193,"Gudgeon","Gobio gobio",977209,1,209753,,,638,,""
"286",34661,"Colwick Marina Net",164157,2023-09-28,735032,284,"Minnow","Phoxinus phoxinus",977210,1,209756,,,120,,""
